"","X","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","NM_001130558",2605.01759029083,-8.47208511863053,0.307071799715278,1.74152797024851e-168,1.83574463343895e-164
"2","NM_144743",16922.579958709,3.11059295572642,0.180478251411725,8.66917448030324e-68,4.56908840984382e-64
"3","NM_001190380",925.648822038668,3.32663349330403,0.20492553176788,2.0293574905639e-60,7.1304857693447e-57
"4","NM_001013904",59056.4739348695,2.33421764240675,0.149340396248702,2.07950993155809e-56,5.48002854713846e-53
"5","NM_013105",132527.045061082,4.19068501181647,0.28204204608437,3.45923167873281e-51,7.29275222510451e-48
"6","NM_017272",12407.0179205736,4.34893475438226,0.293518063188422,7.23459246545115e-51,1.27099731963868e-47
"7","NM_019184",38972.9527932041,-2.86772159366567,0.195469310923431,6.30528999531831e-50,9.49486597723576e-47
"8","NM_001109459",805.459272488647,2.67537046018375,0.192820685498431,7.54251315579537e-45,9.93820389690488e-42
"9","NM_001108565",577.631467351035,2.67789710753371,0.19928871148643,2.75768818033682e-42,3.22986567877004e-39
"10","NM_013141",1012.14962626972,-2.75977822485338,0.210924853512026,2.18671888604959e-40,2.30502037778488e-37
"11","NM_139115",224.293635585873,3.36571017417772,0.263832529267923,1.3133632111145e-38,1.25856014621436e-35
"12","NM_012508",766.861854013248,-2.41565397568378,0.190939886398548,6.11220464862541e-38,5.36906243343004e-35
"13","NM_017208",4986.39077639484,1.63113688514609,0.130362238169247,4.37558693823079e-37,3.5479278396839e-34
"14","NM_080581",1572.95399261742,3.540679224312,0.284883651258341,7.96905664079854e-37,6.00013043218982e-34
"15","NM_001198676",17690.5988852359,3.18281708222959,0.258507549265853,3.96647969707542e-36,2.7873774991248e-33
"16","NM_001137564",3235.93462703474,3.53116922091297,0.309839093634557,2.86193981299847e-31,1.88548172305106e-28
"17","NM_017128",350.719897203817,-2.43442486212384,0.224158287520139,9.87200061829627e-29,6.12122108926241e-26
"18","NM_198750",556.372033072753,-2.80819969597909,0.259049460593212,1.17597661836939e-28,6.88664974123987e-26
"19","NM_001113422",148.344352364906,4.97224710489961,0.453172772051607,1.55361498833784e-28,8.61929241687848e-26
"21","NM_012737",2413.9599587919,-2.83880526983818,0.271293359052998,6.58280473119243e-27,3.30425450816664e-24
"22","NM_001277694",385.186173634186,2.13268293814949,0.2045707877851,1.00658340883415e-26,4.82290714205488e-24
"23","NM_001039031",5321.3117765722,-1.82071635335888,0.177876113971666,9.48895388649312e-26,4.34882882250104e-23
"25","NM_031010",209.937564930169,-3.279157459072,0.328249683106724,8.11692524112968e-25,3.42242035866992e-22
"26","NM_001039549",1763.94142943747,1.53323892558847,0.153511211929454,1.19392565618974e-24,4.84045013149848e-22
"27","NM_001010921",22871.7913966807,2.24664342958018,0.227894863690072,3.53343701950928e-24,1.37947998602397e-21
"28","NM_053516",287.002694516322,4.53674360242473,0.462004799356474,5.06961762941519e-24,1.90852997970234e-21
"29","NM_133586",108.418894423634,3.68056081752259,0.380664013499087,4.36003795898598e-23,1.58479862502314e-20
"30","NM_198776",1483.36094016268,-2.31329890576402,0.241134347090225,4.56240949468302e-23,1.60307861611512e-20
"31","NM_001007722",3049.33903203341,-2.43587359445215,0.2553253329869,6.61369396428994e-23,2.17859212742438e-20
"32","NM_001024288",150.476932316436,2.59380594703808,0.269831703635747,6.42872351792128e-23,2.17859212742438e-20
"33","NM_001111269",493.234323111475,-2.50258006615176,0.263053313915347,1.00051315000077e-22,3.19588154974488e-20
"35","NM_001134730",818.717670572098,-1.53786494011975,0.167009617980537,2.17273213468653e-21,6.54364840906592e-19
"36","NM_198747",469.833936862835,-2.36058075836924,0.258120971249566,3.15988320987056e-21,9.25231358756821e-19
"37","NM_001108968",150.94876639895,-3.29261972570653,0.361429322984152,4.07741811242571e-21,1.16162336008323e-18
"38","NM_173295",17099.4469607044,1.95041703113103,0.213640105410838,5.22802887300975e-21,1.45022769343147e-18
"40","NM_033234",7009.82587935111,-2.45136749198081,0.271381825502972,8.44400753519046e-21,2.22520708571107e-18
"41","NM_130736",202.213809225426,2.33421703934163,0.260387731660146,2.14005370325991e-20,5.50202587464943e-18
"42","NM_012540",309.615245947854,3.12234956093725,0.352123929685897,5.09376526079925e-20,1.27841380033535e-17
"44","NM_001113223",103.638714229146,-3.10954279594301,0.35673574316397,1.44190340868355e-19,3.45434177975757e-17
"45","NM_001108214",581.419689647915,-2.70925359393484,0.312111218268498,2.03549150866009e-19,4.76802577617468e-17
"46","NM_001047965",259.829084056953,-2.45454849766012,0.285000278246625,3.9914798409176e-19,9.14656282676358e-17
