"","X","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"47","NM_133546",2080.26984947393,3.70409013074108,0.347408136469202,7.41911014326243e-28,1.69723983532676e-25
"48","NM_001013889",445.781404889537,-3.55645707251381,0.333578821759327,8.34149410232235e-28,1.86849467892021e-25
"49","NM_022521",7695.95704782741,-3.56143706815872,0.339079622788516,4.54361607006432e-27,9.96999183374113e-25
"50","NM_019292",23204.2793659705,-4.08460535178252,0.391723027233574,9.58372055109549e-27,2.06088326730757e-24
"51","NM_053612",4356.37371964557,1.57135557968771,0.151954275944734,4.75540684761219e-26,1.00255165540247e-23
"52","NM_001033697",2369.41948092953,-2.91463964372481,0.284556506067258,8.07693748933028e-26,1.67006215163998e-23
"53","NM_053902",4854.46467758852,-1.81304803575384,0.178553217930934,2.64394549416274e-25,5.36371734966751e-23
"54","NM_001281824",4552.2958296979,-1.57463780016552,0.157841975271414,1.90469981549049e-24,3.79246896595439e-22
"55","NM_022851",2621.24853982557,-1.55140230508292,0.155753533532515,2.22894245218397e-24,4.35737986288764e-22
"56","NM_001108510",141.241371403323,3.44776704229216,0.34881658048341,5.18207351613051e-24,9.94958115097059e-22
"57","NM_052809",20119.8600004052,-2.13891319126902,0.219215949926527,1.2067909370206e-23,2.2763887990957e-21
"58","NM_017180",618.247230132612,3.40185486222474,0.352029190877924,2.25094414560404e-23,4.17278473336805e-21
"59","NM_001108609",437.950966194214,1.951331172613,0.202120066325353,3.96138629189564e-23,7.21912295092575e-21
"60","NM_001106637",118.94571527016,3.79323515982029,0.395411241348687,6.76599082306117e-23,1.19385842046386e-20
"61","NM_001130558",4015.20924026781,-9.84398218709404,1.03251786438261,6.77319230359889e-23,1.19385842046386e-20
"62","NM_023985",1130.07835002803,1.92295642147639,0.20094814747701,8.89419139612074e-23,1.54242493372726e-20
"63","NM_001191933",86.0700157316499,3.1860521978105,0.332616708475784,9.11377669376855e-23,1.55541788906983e-20
"64","NM_001014090",3424.64408872269,-2.35340573053165,0.24821288410215,1.62948029777946e-22,2.7375269002695e-20
"65","NM_001271311",865.680214990683,-2.11622868632068,0.223157124523762,1.78505504072294e-22,2.95275566120815e-20
"66","NM_001025137",1126.06345345901,2.47738368746164,0.263691307341663,3.7254470881988e-22,6.06909198368387e-20
"67","NM_001039037",194.195027797447,2.04247488123602,0.217857757512978,5.70566077900211e-22,9.15630816355682e-20
"68","NM_001037975",227205.890685793,-1.73914356697762,0.186811430839215,1.09444902066424e-21,1.73051703973263e-19
"69","NM_001106873",2148.27756198558,-2.248770481768,0.24366098033978,1.86190056119529e-21,2.90132678753213e-19
"70","NM_001108487",1104.93224758177,1.91983619627619,0.207653623056586,1.89918946381498e-21,2.9171550164198e-19
"71","NM_001107994",103.199330117584,3.14651537542852,0.342500620752597,3.18739223322476e-21,4.82687905515953e-19
"72","NM_172010",13185.7975581781,-1.79480257968863,0.195287171719943,3.23317732856005e-21,4.82821147731634e-19
"73","NM_001025732",1047.39607374455,1.92604055617813,0.209811257227205,3.53405604851278e-21,5.20522885391909e-19
"74","NM_207615",198.076207921282,2.58177376840187,0.282658009071901,4.33606375179896e-21,6.30018344045168e-19
"75","NM_012792",3052.92095160747,-2.11270187393724,0.231348980298124,4.72016193185787e-21,6.76682414551144e-19
"76","NM_001025682",236.355442470453,2.6607370483083,0.293064145859743,6.77343703152218e-21,9.51289347645898e-19
"77","NM_013068",195.015879566777,2.73375917505987,0.301563055279353,6.81261902610995e-21,9.51289347645898e-19
"78","NM_001107985",549.676947977103,-2.6378682713045,0.290723082546468,7.15277882070254e-21,9.85983049746073e-19
"79","NM_001100512",6466.0132430165,-1.6030969113013,0.17628576907231,8.81362555961855e-21,1.19954559515213e-18
"80","NM_199370",9091.51254731201,1.90476526322942,0.209679422939758,9.87477267594167e-21,1.32716944764656e-18
"81","NM_001192002",1981.13900295209,-1.64646483089494,0.181918124290946,1.30485947249178e-20,1.73208012941131e-18
"83","NM_053976",10036.5461674402,1.94599403968357,0.2189774632927,4.29741531831219e-20,5.56696500030032e-18
"84","NM_012693",17591.7158590028,-1.87217923686942,0.210887370381383,5.42126950783297e-20,6.9392249700262e-18
"85","NM_030842",646.361758657835,-1.74481302629473,0.196974449146472,7.02619754285116e-20,8.8877265859689e-18
"86","NM_001039031",4358.76701729534,-2.30523663888432,0.261710978266549,8.53660178313771e-20,1.06727374851508e-17
"87","NM_031732",8161.93811025053,-2.56307315597533,0.294472088454146,1.96197775183119e-19,2.42473388364241e-17
"88","NM_001257095",17884.9478762493,-7.68603133407576,0.894209181252944,3.46441667174585e-19,4.23288727893311e-17
"89","NR_110709",193.690668735528,2.44616370379362,0.284637831827336,5.33608141166185e-19,6.44646599305486e-17
"90","NM_001034934",183.963536054278,3.07984267125311,0.359553469634701,6.53511285025939e-19,7.80728148510988e-17
"91","NM_001007690",634.455678961275,1.94786947170783,0.227062261440285,7.72954718769246e-19,9.13275729253509e-17
"92","NM_031013",10416.4806706294,-2.10602040232026,0.24601453975254,8.17260467638363e-19,9.55128755222574e-17
"93","NM_022177",1580.83638659476,-1.55336580956096,0.18083926985895,8.46769906240876e-19,9.78975272247516e-17
"94","NM_001005906",311.110156513388,1.93458890480129,0.228947480443815,2.3264390443187e-18,2.66105027707603e-16
"95","NM_173123",4609.81573898772,-1.92968020384584,0.228437934223183,2.41340421131518e-18,2.73146548211166e-16
"96","NM_030844",167.120033388643,2.08500741809214,0.248717311224859,4.07552029438516e-18,4.56458272971138e-16
"97","NM_017300",31578.0981843955,-1.68328758264722,0.200617897985425,4.28252934878939e-18,4.74698510909109e-16
"99","NM_144755",292.883830490199,2.01671493800573,0.241805265964391,5.68978670204556e-18,6.17945319397918e-16
"100","NM_080786",4362.77877023936,-1.54172622127273,0.184664368642472,6.70711344448696e-18,7.21148837551238e-16
"102","NM_080782",3654.95760888821,4.0996018036234,0.49788248604104,9.52778782586022e-18,1.00434092846715e-15
"103","NM_001106976",575.747431912122,3.19502883262875,0.388479660075924,1.03347846296829e-17,1.07883111008107e-15
"105","NM_001108796",421.514722956753,2.01520487366364,0.245150928545768,1.65951959557662e-17,1.69934806587046e-15
"106","NM_001005536",372.325428702082,1.69060151744891,0.206374055632823,2.350888564824e-17,2.38459941971581e-15
"107","NM_017298",391.72890363616,-1.85208095814648,0.226612556826572,2.45745594446745e-17,2.46939872102e-15
"108","NM_053626",1568.12186799854,-2.35886133231405,0.290638711807268,3.06453159899079e-17,3.05091145855083e-15
"110","NM_201423",52.3562252926872,4.1250142159502,0.503714899161093,3.32174136107509e-17,3.24685119220722e-15
"112","NM_001047101",423.778398242834,-2.13145363490135,0.263038286602393,3.83406821266606e-17,3.68070548415942e-15
"115","NM_001007722",2361.46018332828,-3.07664122543472,0.382374145608311,4.7528774018597e-17,4.40542567455133e-15
"116","NM_022685",99.4083159747705,2.543668704763,0.315221079500251,4.73358903421209e-17,4.40542567455133e-15
"117","NM_001012122",8299.81805857765,-2.70349995871179,0.335819281441062,4.92991616292318e-17,4.53046654561966e-15
"118","NM_031114",651.642682946687,2.52049681407538,0.312865602650052,5.07102741864691e-17,4.62065142417725e-15
"119","NM_001025272",853.288720847432,1.51543433195605,0.186826432746297,5.148823523935e-17,4.65211348986127e-15
"120","NM_024489",261.6639723297,2.05637286766646,0.254591499767952,5.33613787439045e-17,4.78117953545384e-15
"121","NM_080581",570.925988923508,2.19306441466621,0.272069450504131,5.38480721302622e-17,4.78491298797173e-15
"124","NM_012603",967.824728259466,3.08271099811514,0.386659909670265,8.88737893963378e-17,7.70621760959213e-15
"125","NM_001025152",199.520531892815,-1.72563950774128,0.215255196941612,9.40476333616772e-17,8.08960123123802e-15
"126","NM_173093",9723.74668365654,-1.95271555839443,0.244706722882407,1.09281410741841e-16,9.3253470499704e-15
"127","NM_012744",12078.0807305965,-1.50599498318373,0.188206082913189,1.2191733456035e-16,1.03216943401014e-14
"129","NM_172038",124.870739965656,2.94885478178177,0.372618583268306,1.51250068575022e-16,1.26065173435554e-14
"131","NM_001012742",311.242291929869,2.11941030324481,0.267844775701611,1.79111594374198e-16,1.47008233794761e-14
"132","NM_001009603",760.033200484587,-1.6800452300274,0.211888607405997,1.97903141754728e-16,1.61201104556578e-14
"133","NM_053493",7940.87930500286,-2.07808763484324,0.262833645376289,2.06153254521181e-16,1.66658631023439e-14
"134","NM_001107025",251.713374939422,-1.91375630333117,0.24243677971632,2.30334885717943e-16,1.84817962032785e-14
"135","NM_012580",2108.15687609597,1.89006553007562,0.239862468910379,2.68026171566318e-16,2.13467955309707e-14
"136","NM_001004212",210.512884289885,1.87440757955917,0.238874799968873,3.23177372943724e-16,2.55500228962567e-14
"138","NM_001173449",226.480724460946,-2.45431507896517,0.315906705622332,4.98576746380538e-16,3.88456317179967e-14
"139","NM_001025683",129.861465256969,2.58086027371355,0.331283720661276,5.40785745898457e-16,4.18311391359727e-14
"140","NM_053558",71.8894927579915,2.772674101718,0.357013226862158,6.56818927255138e-16,5.04436936131946e-14
"142","NM_001003401",2134.97045659221,2.97065896803896,0.386230657700633,8.4948882965115e-16,6.34284992806192e-14
"144","NM_178094",348.042996411973,1.75628570423504,0.226600453440299,8.39716015217863e-16,6.34284992806192e-14
"145","NM_130741",529.478493480838,3.69288551368959,0.480030878040452,8.76378099576196e-16,6.49849470802983e-14
"146","NM_001111269",381.084777748804,-3.2502282912716,0.423379424829191,8.83159598011277e-16,6.50392602590223e-14
"149","NM_001127533",3510.3199382852,-1.55413447247685,0.202852157947195,1.70124417911448e-15,1.22763606804288e-13
"153","NM_198776",1097.54888216456,-2.97058501219393,0.393076494395284,2.29529595279495e-15,1.6130079793759e-13
"154","NM_001135007",1490.14478854138,-1.95545392097363,0.258664455146692,3.00050948202455e-15,2.09490116563168e-13
"155","NM_001105797",301.75328340834,-2.80453599113398,0.374026366971243,3.75272093421117e-15,2.60317777320249e-13
"156","NM_199109",474.150638249148,1.7041334602404,0.225594617320985,3.79652579763061e-15,2.61668239590541e-13
"159","NM_022542",1925.00363365007,2.19026677248547,0.292557620021822,5.0227759173281e-15,3.39653375239697e-13
"160","NM_031148",2465.80170789362,2.06573052566324,0.276066267812198,5.39594058711507e-15,3.62607207454133e-13
"161","NM_138900",14082.8564571344,-1.6693219209107,0.222826769910285,5.55299240929325e-15,3.70843319159758e-13
"164","NM_147214",81.1044167217349,-2.97546220103545,0.403483395663142,1.01245764653373e-14,6.63777110703091e-13
"165","NM_001108491",222.499245746026,-2.43700680312884,0.330421510259102,1.04838264828169e-14,6.8316425662574e-13
"166","NM_022849",889.983488315331,1.79448003210828,0.242608907816938,1.17778134760211e-14,7.62861749964936e-13
"168","NM_012596",177.166966095258,-2.90471271404366,0.398471551626973,1.81425538734721e-14,1.16112344790221e-12
"169","NM_021744",1149.30392642638,-2.79500546928222,0.383877260773328,1.88276214607864e-14,1.19783778666495e-12
"171","NM_053519",389.288640538204,-1.98122043430648,0.271131874344455,2.03196615789463e-14,1.27989406663086e-12
"174","NM_024127",1215.361035096,2.66709328425324,0.368037998723139,2.86794087777754e-14,1.77218967344047e-12
"175","NM_001011991",277.253890861358,1.63527185120757,0.224491866867295,3.13062843955338e-14,1.92345811326159e-12
"178","NM_022548",604.363513679301,1.75877655123999,0.242164447812272,3.28920136911618e-14,1.98682545622119e-12
"179","NM_001008321",329.526232789059,2.90996143797323,0.403413232137962,3.40852607333098e-14,2.04740068941088e-12
"180","NM_020082",32337.1637119535,-1.72872636788985,0.238936717590135,3.88301204879965e-14,2.31945253048299e-12
"182","NM_013096",6603.50447861204,-3.09816970991357,0.433065332069617,4.51963037852319e-14,2.67005856208139e-12
"183","NM_145097",15479.9232310492,-1.85608487683919,0.257695486794322,4.66042609047709e-14,2.73819132922457e-12
"184","NM_012863",201.789138120413,-2.95090191714498,0.41230693366033,4.75714628745622e-14,2.77982809145268e-12
"185","NM_001083898",58.6204642135855,2.90341608251746,0.405109828628457,4.87895439074046e-14,2.83559554644548e-12
"186","NM_173293",1004.36448349824,-3.27289275435858,0.459668252183616,5.62995441006966e-14,3.25447687188543e-12
"187","NM_001108968",93.1383245094174,-2.9510388272597,0.414278421132797,6.52867805915145e-14,3.75381532042761e-12
"190","NM_012844",1731.36043052767,2.05760093021418,0.289720805987337,9.29493669911357e-14,5.2599557573089e-12
"191","NM_053543",630.098192861531,1.79692819567529,0.252409917749811,9.38768209386592e-14,5.28462606666211e-12
"192","NM_001014171",160.785751849064,-1.5295750832529,0.215312327250764,1.21288680366162e-13,6.79216610050507e-12
"193","NM_001025729",248.351909800295,-2.10130012380538,0.2980136068334,1.22112699054232e-13,6.80287948306272e-12
"194","NM_001037354",376.68342396041,1.87337226835733,0.265533598934745,1.32752076169822e-13,7.35747589163882e-12
"195","NM_001106823",266.008800966946,-1.8432960427813,0.261493608693496,1.43065531951379e-13,7.88841333098063e-12
"197","NM_001039013",362.097870027471,-1.94893025366802,0.278286676163005,1.82500056293782e-13,9.96061220949617e-12
"200","NM_022866",809.149667325347,-2.3085410443478,0.331947318998653,2.29209869917111e-13,1.23223226067439e-11
"201","NM_012624",6852.90924559936,-2.09602491334151,0.301622088113603,2.41732496916702e-13,1.2930884611186e-11
"203","NM_001202552",511.006838490791,-1.72613764643357,0.248469526635572,3.08386186174152e-13,1.63338338608103e-11
"206","NM_001014022",224.588064105877,1.75737356071075,0.253592304696528,3.76808599400865e-13,1.95802069292088e-11
"207","NM_017059",598.622115381875,1.50311448382562,0.216284939938237,3.76962689206309e-13,1.95802069292088e-11
"208","NM_022187",312.693650867425,1.71122785066266,0.247546013174178,4.49655564305535e-13,2.324373378564e-11
